TA,F08A,45.7971,-118.7768,26.27,2.02
TA,F13A,45.7893,-114.3317,20.24,2.22
TA,F14A,45.8122,-113.3699,21.04,2.12
TA,F15A,45.8409,-112.4929,34.07,1.76
TA,F44A,45.9737,-86.4226,21.24,2.23
TA,F49A,45.7627,-82.0423,20.44,2.18
TA,F55A,45.8338,-76.3510,37.54,1.61
TA,F61A,45.9743,-70.9921,21.18,2.21
TA,G05D,45.2422,-121.3167,30.21,1.67
TA,G06A,45.2357,-120.6351,30.51,1.66
TA,G07A,45.2664,-119.6692,31.43,1.73
TA,G10A,45.2925,-117.1204,26.19,1.84
TA,G13A,45.0931,-114.2329,22.66,1.99
TA,G15A,45.1660,-112.4887,31.13,1.61
TA,G20A,45.2202,-108.2141,20.10,2.25
TA,G21A,45.2250,-107.2070,21.38,2.27
TA,G27A,45.3791,-101.9310,20.06,2.32
TA,G28A,45.0749,-100.9161,33.03,1.77
TA,G30A,45.1293,-99.1446,20.32,1.92
TA,G43A,45.2572,-87.6861,20.60,2.29
TA,G45A,45.0404,-85.6571,36.52,1.55
TA,H07A,44.5913,-119.5646,36.12,1.65
TA,H16A,44.7038,-111.2478,30.79,1.70
TA,H17A,44.3951,-110.5762,20.70,1.99
TA,H36A,44.5775,-93.9281,21.58,2.07
TA,H47A,44.5994,-84.2062,27.37,1.78
TA,H59A,44.6455,-73.6905,25.93,1.75
TA,H61A,44.5239,-71.9271,21.84,2.09
TA,I09A,43.9733,-117.7407,27.43,1.94
TA,I12A,43.7945,-115.1328,34.05,1.68
TA,I14A,43.9286,-113.4518,25.17,2.07
TA,I18A,43.7013,-109.8171,22.00,2.22
TA,I24A,43.8594,-104.6263,31.23,1.75
TA,I46A,43.9411,-85.4472,27.01,1.76
TA,I47A,44.0193,-84.5096,22.08,1.97
TA,I58A,43.6901,-74.9733,22.50,2.19
TA,I62A,43.8743,-71.3359,32.75,1.64
TA,J03A,43.3717,-122.9646,21.32,2.23
TA,J05A,43.2843,-121.2357,28.03,1.98
TA,J08A,43.3580,-118.4743,23.30,2.10
TA,J18A,43.2112,-110.0200,23.56,1.84
TA,J22A,43.4126,-106.4785,26.01,1.93
TA,J23A,43.4036,-105.5524,33.47,1.76
TA,J26A,43.3126,-103.0752,26.83,1.86
TA,J34A,43.2844,-95.9579,39.50,1.56
TA,J48A,43.2986,-83.7849,21.26,2.49
